Fecha,Predicción
2014-06-13,1226
2014-06-14,360
2014-06-15,2
2014-06-16,849
2014-06-17,1056
2014-06-18,1226
2014-06-19,1226
2014-06-20,1226
2014-06-21,346
2014-06-22,1
2014-06-23,0
2014-06-24,1061
2014-06-25,1236
2014-06-26,1280
2014-06-27,1414
2014-06-28,660
2014-06-29,6
2014-06-30,5
2014-01-07,749
2014-02-07,870
2014-03-07,906
2014-04-07,841
2014-05-07,755
2014-06-07,568
2014-07-07,860
2014-08-07,935
2014-09-07,849
2014-10-07,960
2014-11-07,997
2014-12-07,804
2014-07-13,2
2014-07-14,921
2014-07-15,1057
2014-07-16,1226
2014-07-17,1226
2014-07-18,1226
2014-07-19,340
2014-07-20,1
2014-07-21,846
2014-07-22,1058
2014-07-23,1226
2014-07-24,1227
2014-07-25,1236
2014-07-26,418
2014-07-27,2
2014-07-28,1010
2014-07-29,1448
2014-07-30,1774
2014-07-31,1754
2014-01-08,780
2014-02-08,456
2014-03-08,436
2014-04-08,826
2014-05-08,904
2014-06-08,994
2014-07-08,7
2014-08-08,950
2014-09-08,863
2014-10-08,747
2014-11-08,882
2014-12-08,900
2014-08-13,1226
2014-08-14,1226
2014-08-15,1226
2014-08-16,344
2014-08-17,1
2014-08-18,0
2014-08-19,1057
2014-08-20,1226
2014-08-21,1226
2014-08-22,1226
2014-08-23,360
2014-08-24,1
2014-08-25,856
2014-08-26,1109
2014-08-27,1346
2014-08-28,1419
2014-08-29,1641
2014-08-30,760
2014-08-31,11
2014-01-09,748
2014-02-09,513
2014-03-09,982
2014-04-09,825
2014-05-09,942
2014-06-09,826
2014-07-09,741
2014-08-09,827
2014-09-09,884
2014-10-09,1026
2014-11-09,1084
2014-12-09,927
2014-09-13,385
2014-09-14,2
2014-09-15,876
2014-09-16,1058
2014-09-17,1226
2014-09-18,1226
2014-09-19,1226
2014-09-20,340
2014-09-21,1
2014-09-22,864
2014-09-23,1062
2014-09-24,1226
2014-09-25,1236
2014-09-26,1286
2014-09-27,501
2014-09-28,4
2014-09-29,1259
2014-09-30,1812
2014-01-10,863
2014-02-10,779
2014-03-10,821
2014-04-10,897
2014-05-10,472
2014-06-10,810
2014-07-10,933
2014-08-10,1099
2014-09-10,781
2014-10-10,1036
2014-11-10,873
2014-12-10,696
2014-10-13,0
2014-10-14,1055
2014-10-15,1226
2014-10-16,1226
2014-10-17,1226
2014-10-18,338
2014-10-19,2
2014-10-20,868
2014-10-21,1055
2014-10-22,1226
2014-10-23,1226
2014-10-24,1227
2014-10-25,373
2014-10-26,3
2014-10-27,933
2014-10-28,1346
2014-10-29,1563
2014-10-30,1858
2014-10-31,1915
2014-01-11,432
2014-02-11,571
2014-03-11,0
2014-04-11,734
2014-05-11,934
2014-06-11,837
2014-07-11,962
2014-08-11,659
2014-09-11,747
2014-10-11,822
2014-11-11,846
2014-12-11,979
2014-11-13,1230
2014-11-14,1231
2014-11-15,349
2014-11-16,6
2014-11-17,0
2014-11-18,1066
2014-11-19,1229
2014-11-20,1229
2014-11-21,1230
2014-11-22,349
2014-11-23,1
2014-11-24,879
2014-11-25,1094
2014-11-26,1285
2014-11-27,1396
2014-11-28,1650
2014-11-29,806
2014-11-30,17
2014-01-12,508
2014-02-12,1105
2014-03-12,1133
2014-04-12,789
2014-05-12,1243
2014-06-12,1127
2014-07-12,615
2014-08-12,1
2014-09-12,1133
2014-10-12,1249
2014-11-12,1196
2014-12-12,1945
2014-12-13,558
2014-12-14,5
2014-12-15,1258
2014-12-16,1983
2014-12-17,1997
2014-12-18,2015
2014-12-19,2056
2014-12-20,556
2014-12-21,1
2014-12-22,1262
2014-12-23,2022
2014-12-24,1833
2014-12-25,0
2014-12-26,1830
2014-12-27,719
2014-12-28,3
2014-12-29,1998
2014-12-30,2351
2014-12-31,987
2015-01-01,0
2015-02-01,228
2015-03-01,329
2015-04-01,392
2015-05-01,447
2015-06-01,647
2015-07-01,719
2015-08-01,560
2015-09-01,744
2015-10-01,682
2015-11-01,408
2015-12-01,1
2015-01-13,977
2015-01-14,1080
2015-01-15,1081
2015-01-16,1080
2015-01-17,305
2015-01-18,3
2015-01-19,732
2015-01-20,975
2015-01-21,1081
2015-01-22,1081
2015-01-23,1085
2015-01-24,311
2015-01-25,5
2015-01-26,740
2015-01-27,1162
2015-01-28,1296
2015-01-29,1337
2015-01-30,1565
2015-01-31,685
2015-01-02,545
2015-02-02,650
2015-03-02,722
2015-04-02,738
2015-05-02,622
2015-06-02,816
2015-07-02,764
2015-08-02,576
2015-09-02,809
2015-10-02,879
2015-11-02,878
2015-12-02,869
2015-02-13,1109
2015-02-14,318
2015-02-15,3
2015-02-16,737
2015-02-17,979
2015-02-18,1110
2015-02-19,1110
2015-02-20,1110
2015-02-21,304
2015-02-22,6
2015-02-23,738
2015-02-24,1013
2015-02-25,1178
2015-02-26,1224
2015-02-27,1379
2015-02-28,601
2015-01-03,449
2015-02-03,669
2015-03-03,724
2015-04-03,764
2015-05-03,788
2015-06-03,817
2015-07-03,764
2015-08-03,725
2015-09-03,789
2015-10-03,761
2015-11-03,912
2015-12-03,830
2015-03-13,1112
2015-03-14,328
2015-03-15,2
2015-03-16,740
2015-03-17,979
2015-03-18,1113
2015-03-19,1113
2015-03-20,1113
2015-03-21,310
2015-03-22,4
2015-03-23,0
2015-03-24,1012
2015-03-25,1180
2015-03-26,1227
